DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH
1.00,0.00,0.00,32465.00,0.00,LA,Lan-Chile Airlines,MIA,GYE,6,626,2024,1
1.00,0.00,0.00,34974.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,LAX,NRT,8,819,2024,1
1.00,0.00,0.00,35600.00,0.00,M6,Amerijet International,MIA,PAP,6,622,2024,1
1.00,0.00,0.00,37266.00,0.00,5X,United Parcel Service,YYC,SDF,6,626,2024,1
1.00,0.00,0.00,38555.00,0.00,KE,Korean Air Lines Co. Ltd.,SEA,ICN,6,683,2024,1
1.00,0.00,0.00,38573.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,PTY,ANC,8,819,2024,1
1.00,0.00,0.00,40607.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,ANC,PVG,8,819,2024,1
1.00,0.00,0.00,41900.00,0.00,M6,Amerijet International,MIA,SKB,6,626,2024,1
1.00,0.00,0.00,43938.00,0.00,QT,Transportes Aereos Mercantiles Panamericanos S.A,GUA,MIA,6,696,2024,1
1.00,0.00,0.00,46230.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,JFK,RZE,8,819,2024,1
1.00,0.00,0.00,47029.00,0.00,PFQ,Asia Pacific,GUM,GGH,6,622,2024,1
1.00,0.00,0.00,47029.00,0.00,PFQ,Asia Pacific,HKG,GUM,6,622,2024,1
1.00,0.00,0.00,48693.00,0.00,UA,United Air Lines Inc.,HKG,SFO,6,637,2024,1
1.00,0.00,0.00,50985.00,0.00,NC,Northern Air Cargo Inc.,MIA,GUA,6,626,2024,1
1.00,0.00,0.00,51960.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,ORD,RZE,8,819,2024,1
1.00,0.00,0.00,52540.00,0.00,5X,United Parcel Service,SDF,YYC,6,626,2024,1
1.00,0.00,0.00,53240.00,0.00,CT,Air Atlanta Europe Limited,ORD,OSL,8,820,2024,1
1.00,0.00,0.00,56092.00,0.00,5X,United Parcel Service,SDF,YYC,6,622,2024,1
1.00,0.00,0.00,57751.00,1251.00,M6,Amerijet International,MIA,SVD,6,626,2024,1
1.00,0.00,0.00,59492.00,0.00,W8,Cargojet Airways Ltd.,BOG,MIA,6,622,2024,1
1.00,0.00,0.00,60331.00,0.00,W8,Cargojet Airways Ltd.,CVG,YWG,6,626,2024,1
1.00,0.00,0.00,61147.00,0.00,CX,Cathay Pacific Airways Ltd.,MEX,ANC,8,821,2024,1
1.00,0.00,0.00,61453.00,0.00,W8,Cargojet Airways Ltd.,CVG,YYC,6,625,2024,1
1.00,0.00,0.00,62748.00,0.00,QT,Transportes Aereos Mercantiles Panamericanos S.A,SAP,MIA,6,696,2024,1
1.00,0.00,0.00,65261.00,0.00,W8,Cargojet Airways Ltd.,CVG,YVR,6,625,2024,1
1.00,0.00,0.00,66077.00,0.00,W8,Cargojet Airways Ltd.,CVG,MTY,6,625,2024,1
1.00,0.00,0.00,66823.00,0.00,W8,Cargojet Airways Ltd.,SJO,MIA,6,626,2024,1
1.00,0.00,0.00,67064.00,0.00,UA,United Air Lines Inc.,TPE,SFO,6,637,2024,1
1.00,0.00,0.00,67580.00,0.00,L7,Lan Colombia,MIA,SCL,6,626,2024,1
