DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,SEATS_PER_FLIGHT,AV_PASSENGERS_PER_FLIGHT
6.0,858.0,789.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,SJO,6,612,2024,1,143.0,131.5
6.0,858.0,848.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,MCI,6,612,2024,1,143.0,141.33
6.0,1050.0,662.0,0.0,0.0,WN,Southwest Airlines Co.,PHX,CUN,6,614,2024,1,175.0,110.33
6.0,1050.0,868.0,0.0,0.0,WN,Southwest Airlines Co.,SMF,SJD,6,614,2024,1,175.0,144.67
6.0,1050.0,884.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,BNA,6,838,2024,1,175.0,147.33
6.0,1050.0,931.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,SJO,6,838,2024,1,175.0,155.17
6.0,1050.0,936.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,PVR,6,614,2024,1,175.0,156.0
6.0,1050.0,939.0,0.0,0.0,WN,Southwest Airlines Co.,SJO,HOU,6,614,2024,1,175.0,156.5
6.0,1050.0,985.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,AUA,6,614,2024,1,175.0,164.17
6.0,1050.0,1006.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,MCO,6,838,2024,1,175.0,167.67
6.0,1050.0,1026.0,0.0,0.0,WN,Southwest Airlines Co.,PVR,PHX,6,838,2024,1,175.0,171.0
7.0,1001.0,920.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,PLS,6,612,2024,1,143.0,131.43
7.0,1001.0,959.0,2881.0,0.0,WN,Southwest Airlines Co.,FLL,PUJ,6,612,2024,1,143.0,137.0
7.0,1001.0,969.0,0.0,0.0,WN,Southwest Airlines Co.,PLS,FLL,6,612,2024,1,143.0,138.43
7.0,1001.0,970.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,STL,6,612,2024,1,143.0,138.57
7.0,1001.0,975.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,PHX,6,612,2024,1,143.0,139.29
7.0,1001.0,975.0,261.0,0.0,WN,Southwest Airlines Co.,SJO,HOU,6,612,2024,1,143.0,139.29
7.0,1225.0,754.0,0.0,0.0,WN,Southwest Airlines Co.,AUA,MCO,6,614,2024,1,175.0,107.71
7.0,1225.0,907.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,CUN,6,614,2024,1,175.0,129.57
7.0,1225.0,1004.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,PLS,6,614,2024,1,175.0,143.43
7.0,1225.0,1029.0,0.0,0.0,WN,Southwest Airlines Co.,PLS,FLL,6,614,2024,1,175.0,147.0
7.0,1225.0,1138.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,CUN,6,838,2024,1,175.0,162.57
8.0,1400.0,708.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,HAV,6,614,2024,1,175.0,88.5
8.0,1400.0,1069.0,0.0,0.0,WN,Southwest Airlines Co.,HAV,FLL,6,614,2024,1,175.0,133.62
8.0,1400.0,1093.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,PHX,6,614,2024,1,175.0,136.62
8.0,1400.0,1223.0,0.0,0.0,WN,Southwest Airlines Co.,PVR,PHX,6,614,2024,1,175.0,152.88
8.0,1400.0,1236.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,BWI,6,614,2024,1,175.0,154.5
8.0,1400.0,1311.0,0.0,0.0,WN,Southwest Airlines Co.,STL,CUN,6,614,2024,1,175.0,163.88
8.0,1400.0,1312.0,2070.0,0.0,WN,Southwest Airlines Co.,HOU,SJO,6,614,2024,1,175.0,164.0
9.0,1287.0,1226.0,0.0,0.0,WN,Southwest Airlines Co.,STL,CUN,6,612,2024,1,143.0,136.22
9.0,1575.0,1251.0,0.0,0.0,WN,Southwest Airlines Co.,PLS,FLL,6,838,2024,1,175.0,139.0
9.0,1575.0,1376.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,PLS,6,838,2024,1,175.0,152.89
9.0,1575.0,1396.0,0.0,0.0,WN,Southwest Airlines Co.,MCI,CUN,6,614,2024,1,175.0,155.11
10.0,1430.0,1154.0,0.0,0.0,WN,Southwest Airlines Co.,MCI,CUN,6,612,2024,1,143.0,115.4
10.0,1430.0,1188.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,LIR,6,612,2024,1,143.0,118.8
10.0,1430.0,1291.0,0.0,0.0,WN,Southwest Airlines Co.,PHX,CUN,6,612,2024,1,143.0,129.1
10.0,1430.0,1309.0,0.0,0.0,WN,Southwest Airlines Co.,LIR,HOU,6,612,2024,1,143.0,130.9
10.0,1750.0,953.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,CUN,6,838,2024,1,175.0,95.3
10.0,1750.0,1379.0,120.0,0.0,WN,Southwest Airlines Co.,HOU,BZE,6,838,2024,1,175.0,137.9
10.0,1750.0,1466.0,150.0,0.0,WN,Southwest Airlines Co.,BZE,HOU,6,838,2024,1,175.0,146.6
11.0,1925.0,1698.0,9254.0,0.0,WN,Southwest Airlines Co.,FLL,PUJ,6,838,2024,1,175.0,154.36
12.0,2100.0,1794.0,695.0,0.0,WN,Southwest Airlines Co.,MCO,MBJ,6,838,2024,1,175.0,149.5
12.0,2100.0,1820.0,0.0,0.0,WN,Southwest Airlines Co.,MCI,CUN,6,838,2024,1,175.0,151.67
12.0,2100.0,1938.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,MCI,6,838,2024,1,175.0,161.5
12.0,2100.0,1974.0,880.0,0.0,WN,Southwest Airlines Co.,FLL,MBJ,6,838,2024,1,175.0,164.5
13.0,2275.0,1902.0,7259.0,0.0,WN,Southwest Airlines Co.,FLL,PUJ,6,614,2024,1,175.0,146.31
13.0,2275.0,1968.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,MCI,6,614,2024,1,175.0,151.38
13.0,2275.0,1984.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,BWI,6,838,2024,1,175.0,152.62
13.0,2275.0,2023.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,FLL,6,614,2024,1,175.0,155.62
13.0,2275.0,2107.0,0.0,0.0,WN,Southwest Airlines Co.,STL,CUN,6,838,2024,1,175.0,162.08
14.0,2450.0,2175.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,CUN,6,838,2024,1,175.0,155.36
14.0,2450.0,2301.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,FLL,6,838,2024,1,175.0,164.36
14.0,2450.0,2334.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,BWI,6,838,2024,1,175.0,166.71
15.0,2625.0,1651.0,0.0,0.0,WN,Southwest Airlines Co.,PHX,CUN,6,838,2024,1,175.0,110.07
15.0,2625.0,2419.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,FLL,6,614,2024,1,175.0,161.27
16.0,2800.0,1843.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,PHX,6,838,2024,1,175.0,115.19
16.0,2800.0,2444.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,LIR,6,838,2024,1,175.0,152.75
16.0,2800.0,2584.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,FLL,6,838,2024,1,175.0,161.5
